,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_FGA%,0-3_FGA%,3-10_FGA%,10-16_FGA%,16-3P_FGA%,3P_FGA%,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,2P_FGast,3P_FGast,Dunks_%FGA,Dunks_#,Corner_%3PA,Corner_3P%,Heaves_Att.,Heaves_#,Year,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,GREATEST_75_FLAG,Quartile,FIRST_2,NEXT_2,Improved
10,Bruno Caboclo,SF,19.5,TOR,7.0,33.0,0.20800000000000002,14.6,0.5835,0.125,0.292,0.0415,0.125,0.4165,0.111,0.3335,0.0,0.0,0.0,0.405,0.5,1.0,0.0415,0.5,0.5235,0.6,0,0,2015,203998.0,Bruno,Caboclo,Bruno Caboclo,"Caboclo, Bruno",B. Caboclo,bruno-caboclo,1995-09-21T00:00:00,Pinheiros,Brazil,Pinheiros/Brazil,81.0,218.0,8.0,Forward,Inactive,N,0.0,bruno_caboclo,2014.0,2020.0,Y,Y,Y,2014,N,3,3,2,No
11,Bruno Fernando,C,21.5,ATL,44.5,469.5,0.4635,5.75,0.8845,0.6185,0.184,0.054000000000000006,0.0275,0.11549999999999999,0.517,0.6495,0.1485,0.479,0.0,0.0675,0.7635,0.5,0.2155,22.0,0.4525,0.0335,0,0,2020,1628981.0,Bruno,Fernando,Bruno Fernando,"Fernando, Bruno",B. Fernando,bruno-fernando,1998-08-15T00:00:00,Maryland,Angola,Maryland/Angola,81.0,240.0,4.0,Forward-Center,Active,Y,1610612737.0,bruno_fernando,2019.0,2023.0,Y,Y,Y,2019,N,3,3,3,No
12,Buddy Hield,SG,24.5,TOT,81.0,1956.0,0.436,16.65,0.5345,0.1785,0.0985,0.10250000000000001,0.1545,0.4655,0.459,0.5905,0.389,0.3845,0.40149999999999997,0.41100000000000003,0.439,0.782,0.0135,11.0,0.1665,0.503,1,0,2017,1627741.0,Buddy,Hield,Buddy Hield,"Hield, Buddy",B. Hield,buddy-hield,1992-12-17T00:00:00,Oklahoma,Bahamas,Oklahoma/Bahamas,76.0,220.0,7.0,Guard,Active,Y,1610612754.0,buddy_hield,2016.0,2023.0,N,Y,Y,2016,N,1,2,3,Yes
13,CJ McCollum,SG,22.5,POR,50.0,724.5,0.426,16.05,0.585,0.17149999999999999,0.129,0.10550000000000001,0.179,0.41500000000000004,0.4545,0.493,0.49250000000000005,0.5085,0.349,0.3855,0.32599999999999996,0.8775,0.0135,3.5,0.28800000000000003,0.4915,1,0,2014,203468.0,CJ,McCollum,CJ McCollum,"McCollum, CJ",C. McCollum,cj-mccollum,1991-09-19T00:00:00,Lehigh,USA,Lehigh/USA,75.0,190.0,10.0,Guard,Active,Y,1610612740.0,cj_mccollum,2013.0,2023.0,Y,Y,Y,2013,N,1,1,2,Yes
14,Cam Reddish,SF,20.5,ATL,42.0,1150.5,0.3745,15.25,0.535,0.235,0.14700000000000002,0.07650000000000001,0.076,0.46499999999999997,0.444,0.5980000000000001,0.3135,0.2985,0.368,0.29700000000000004,0.5555,0.903,0.0545,14.0,0.277,0.331,0,0,2020,1629629.0,Cam,Reddish,Cam Reddish,"Reddish, Cam",C. Reddish,cam-reddish,1999-09-01T00:00:00,Duke,USA,Duke/USA,79.0,217.0,4.0,Forward-Guard,Active,Y,1610612747.0,cameron_reddish,2019.0,2023.0,N,Y,Y,2019,N,1,2,2,No
15,Cameron Payne,PG,21.5,OKC,44.0,580.0,0.371,16.200000000000003,0.5775,0.1345,0.1645,0.15100000000000002,0.1275,0.4225,0.4065,0.40249999999999997,0.4245,0.44799999999999995,0.361,0.319,0.1785,0.815,0.002,0.5,0.186,0.365,1,0,2016,1626166.0,Cameron,Payne,Cameron Payne,"Payne, Cameron",C. Payne,cameron-payne,1994-08-08T00:00:00,Murray State,USA,Murray State/USA,75.0,183.0,8.0,Guard,Active,Y,1610612749.0,cameron_payne,2015.0,2023.0,Y,Y,Y,2015,N,1,1,2,Yes
16,Caris LeVert,SF,22.5,BRK,64.0,1550.5,0.4425,13.649999999999999,0.5915,0.297,0.14350000000000002,0.087,0.0645,0.4085,0.5255,0.665,0.33599999999999997,0.44900000000000007,0.383,0.33399999999999996,0.32499999999999996,0.7375,0.047,25.5,0.177,0.3355,1,0,2017,1627747.0,Caris,LeVert,Caris LeVert,"LeVert, Caris",C. LeVert,caris-levert,1994-08-25T00:00:00,Michigan,USA,Michigan/USA,78.0,205.0,7.0,Guard,Active,Y,1610612739.0,caris_levert,2016.0,2023.0,N,Y,Y,2016,N,3,3,2,No
17,Chandler Hutchison,SF,22.5,CHI,36.0,711.0,0.458,8.8,0.772,0.472,0.2435,0.044,0.0125,0.22799999999999998,0.506,0.6,0.372,0.193,0.375,0.29800000000000004,0.62,1.0,0.114,18.0,0.49650000000000005,0.327,3,0,2019,1628990.0,Chandler,Hutchison,Chandler Hutchison,"Hutchison, Chandler",C. Hutchison,chandler-hutchison,1996-04-26T00:00:00,Boise State,USA,Boise State/USA,78.0,210.0,4.0,Forward-Guard,Inactive,N,0.0,chandler_hutchison,2018.0,2021.0,Y,Y,Y,2018,N,2,2,1,No
18,Chasson Randle,PG,24.0,TOT,37.5,521.0,0.4135,15.15,0.495,0.2925,0.131,0.036500000000000005,0.0355,0.505,0.45599999999999996,0.569,0.3355,0.3215,0.091,0.37,0.4125,0.692,0.0075,0.5,0.1575,0.2665,0,0,2017,1626184.0,Chasson,Randle,Chasson Randle,"Randle, Chasson",C. Randle,chasson-randle,1993-02-05T00:00:00,Stanford,USA,Stanford/USA,74.0,185.0,5.0,Guard,Inactive,N,1610612753.0,chasson_randle,2016.0,2020.0,Y,Y,Y,2015,N,1,2,3,Yes
19,Clint Capela,C,20.5,HOU,44.5,780.5,0.5325,1.65,0.9984999999999999,0.755,0.2425,0.0,0.0015,0.0015,0.5329999999999999,0.6635,0.1505,0.0,0.0,0.0,0.798,0.0,0.328,54.0,0.0,0.0,0,0,2015,203991.0,Clint,Capela,Clint Capela,"Capela, Clint",C. Capela,clint-capela,1994-05-18T00:00:00,Elan Chalon,Switzerland,Elan Chalon/Switzerland,82.0,256.0,9.0,Center,Active,Y,1610612737.0,clint_capela,2014.0,2023.0,Y,Y,Y,2014,N,3,3,4,Yes
20,Coby White,PG,19.5,CHI,67.0,1915.0,0.405,16.3,0.511,0.2395,0.1075,0.058499999999999996,0.1055,0.489,0.4515,0.5435000000000001,0.33399999999999996,0.41400000000000003,0.3825,0.3565,0.27749999999999997,0.772,0.009000000000000001,5.5,0.152,0.425,1,0,2020,1629632.0,Coby,White,Coby White,"White, Coby",C. White,coby-white,2000-02-16T00:00:00,North Carolina,USA,North Carolina/USA,77.0,195.0,4.0,Guard,Active,Y,1610612741.0,coby_white,2019.0,2023.0,N,Y,Y,2019,N,1,1,2,Yes
21,Cody Martin,SF,24.5,CHO,50.0,876.0,0.4355,11.6,0.6595,0.438,0.10900000000000001,0.0465,0.066,0.3405,0.5305,0.621,0.437,0.107,0.3095,0.255,0.5660000000000001,0.9095,0.093,15.5,0.475,0.2395,0,0,2020,1628998.0,Cody,Martin,Cody Martin,"Martin, Cody",C. Martin,cody-martin,1995-09-28T00:00:00,Nevada,USA,Nevada/USA,78.0,205.0,4.0,Forward,Active,Y,1610612766.0,cody_martin,2019.0,2023.0,Y,Y,Y,2019,N,3,3,3,No
22,Cody Zeller,C,21.5,CHA,72.0,1451.5,0.4435,8.4,0.9975,0.4995,0.10450000000000001,0.0435,0.35,0.0025,0.4435,0.5725,0.291,0.35050000000000003,0.313,0.5,0.7495,0.5,0.128,44.5,0.0,0.0,0,0,2014,203469.0,Cody,Zeller,Cody Zeller,"Zeller, Cody",C. Zeller,cody-zeller,1992-10-05T00:00:00,Indiana,USA,Indiana/USA,83.0,240.0,10.0,Forward-Center,Active,Y,1610612740.0,cody_zeller,2013.0,2023.0,N,Y,Y,2013,N,2,2,3,Yes
23,Collin Sexton,PG,20.5,CLE,73.5,2374.0,0.45099999999999996,12.3,0.76,0.29800000000000004,0.1755,0.148,0.1385,0.24,0.47050000000000003,0.5925,0.351,0.4255,0.4,0.391,0.3055,0.6905,0.0155,15.0,0.1125,0.43000000000000005,1,0,2019,1629012.0,Collin,Sexton,Collin Sexton,"Sexton, Collin",C. Sexton,collin-sexton,1999-01-04T00:00:00,Alabama,USA,Alabama/USA,75.0,190.0,5.0,Guard,Active,Y,1610612762.0,collin_sexton,2018.0,2023.0,N,Y,Y,2018,N,1,2,4,Yes
24,D'Angelo Russell,PG,19.5,LAL,71.5,2035.0,0.4075,16.1,0.585,0.16749999999999998,0.13,0.1345,0.152,0.41500000000000004,0.447,0.5725,0.464,0.34650000000000003,0.3835,0.3515,0.265,0.6645,0.0035,3.0,0.138,0.40449999999999997,7,0,2016,1626156.0,D'Angelo,Russell,D'Angelo Russell,"Russell, D'Angelo",D. Russell,dangelo-russell,1996-02-23T00:00:00,Ohio State,USA,Ohio State/USA,75.0,193.0,8.0,Guard,Active,Y,1610612747.0,d'angelo_russell,2015.0,2023.0,N,Y,Y,2015,N,2,2,2,No
25,Damyean Dotson,SG,23.5,NYK,58.5,1239.0,0.431,17.2,0.544,0.188,0.062,0.099,0.1945,0.45599999999999996,0.49950000000000006,0.5894999999999999,0.3045,0.5385,0.4455,0.346,0.6034999999999999,0.9405,0.014499999999999999,3.0,0.1865,0.4165,1,0,2018,1628422.0,Damyean,Dotson,Damyean Dotson,"Dotson, Damyean",D. Dotson,damyean-dotson,1994-05-06T00:00:00,Houston,USA,Houston/USA,77.0,210.0,5.0,Guard,Inactive,N,0.0,damyean_dotson,2017.0,2021.0,Y,Y,Y,2017,N,2,2,3,Yes
26,Darius Bazley,PF,19.5,OKC,58.0,1422.0,0.395,13.5,0.5705,0.2965,0.1965,0.0385,0.039,0.4295,0.45099999999999996,0.6125,0.2565,0.31,0.34850000000000003,0.31899999999999995,0.5589999999999999,0.8645,0.0785,34.0,0.275,0.27,0,0,2020,1629647.0,Darius,Bazley,Darius Bazley,"Bazley, Darius",D. Bazley,darius-bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,Princeton HS (OH)/USA,81.0,216.0,5.0,Forward,Inactive,Y,1610612756.0,darius_bazley,2019.0,2022.0,Y,Y,Y,2019,N,2,2,2,No
27,Darius Garland,SG,20.5,CLE,56.5,1807.0,0.42600000000000005,14.55,0.6225,0.209,0.21100000000000002,0.13,0.07200000000000001,0.3775,0.4565,0.527,0.4415,0.40800000000000003,0.3645,0.375,0.2935,0.719,0.0005,0.5,0.1775,0.41200000000000003,0,0,2020,1629636.0,Darius,Garland,Darius Garland,"Garland, Darius",D. Garland,darius-garland,2000-01-26T00:00:00,Vanderbilt,USA,Vanderbilt/USA,73.0,192.0,4.0,Guard,Active,Y,1610612739.0,darius_garland,2019.0,2023.0,N,Y,Y,2019,N,1,1,2,Yes
28,De'Aaron Fox,PG,20.5,SAC,77.0,2286.0,0.435,11.8,0.7985,0.2585,0.2385,0.132,0.17,0.2015,0.45899999999999996,0.667,0.3555,0.364,0.3615,0.33899999999999997,0.1945,0.5700000000000001,0.036500000000000005,31.5,0.166,0.295,2,0,2018,1628368.0,De'Aaron,Fox,De'Aaron Fox,"Fox, De'Aaron",D. Fox,deaaron-fox,1997-12-20T00:00:00,Kentucky,USA,Kentucky/USA,75.0,185.0,6.0,Guard,Active,Y,1610612758.0,de'aaron_fox,2017.0,2023.0,N,Y,Y,2017,N,3,3,4,Yes
29,De'Andre Hunter,SF,22.5,ATL,43.0,1348.0,0.44699999999999995,15.2,0.5860000000000001,0.2255,0.131,0.119,0.11,0.41400000000000003,0.518,0.626,0.42999999999999994,0.4265,0.507,0.3405,0.5965,0.9235,0.040499999999999994,14.5,0.331,0.3265,1,0,2020,1629631.0,De'Andre,Hunter,De'Andre Hunter,"Hunter, De'Andre",D. Hunter,deandre-hunter,1997-12-02T00:00:00,Virginia,USA,Virginia/USA,80.0,221.0,4.0,Forward-Guard,Active,Y,1610612737.0,deandre_hunter,2019.0,2023.0,N,Y,Y,2019,N,2,3,2,No
30,De'Anthony Melton,PG,20.5,PHO,55.0,1075.5,0.396,13.8,0.64,0.2775,0.16649999999999998,0.0895,0.106,0.36,0.4525,0.598,0.372,0.3925,0.22999999999999998,0.2955,0.4335,0.9375,0.043,14.0,0.21900000000000003,0.388,0,0,2019,1629001.0,De'Anthony,Melton,De'Anthony Melton,"Melton, De'Anthony",D. Melton,deanthony-melton,1998-05-28T00:00:00,Southern California,USA,Southern California/USA,75.0,200.0,5.0,Guard,Active,Y,1610612755.0,deanthony_melton,2018.0,2023.0,Y,Y,Y,2018,N,1,2,2,No
31,DeAndre' Bembry,SF,22.5,ATL,32.0,413.0,0.44699999999999995,8.399999999999999,0.7909999999999999,0.5409999999999999,0.12,0.1005,0.0295,0.20900000000000002,0.502,0.5740000000000001,0.272,0.3095,0.9,0.2115,0.5505,1.0,0.091,9.0,0.333,0.28350000000000003,1,0,2017,1627761.0,DeAndre',Bembry,DeAndre' Bembry,"Bembry, DeAndre'",D. Bembry,deandre-bembry,1994-07-04T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,77.0,210.0,6.0,Guard-Forward,Inactive,N,0.0,deandre'_bembry,2016.0,2021.0,Y,Y,Y,2016,N,3,3,2,No
32,Dejounte Murray,PG,20.5,SAS,59.5,1032.5,0.437,8.55,0.873,0.3525,0.2925,0.1525,0.0755,0.127,0.4475,0.5725,0.406,0.263,0.267,0.328,0.3725,0.9445,0.027,9.0,0.4175,0.44299999999999995,0,0,2017,1627749.0,Dejounte,Murray,Dejounte Murray,"Murray, Dejounte",D. Murray,dejounte-murray,1996-09-19T00:00:00,Washington,USA,Washington/USA,77.0,180.0,6.0,Guard,Active,Y,1610612737.0,dejounte_murray,2016.0,2023.0,Y,Y,Y,2016,N,2,2,2,No
33,Delon Wright,PG,23.5,TOR,27.0,337.5,0.436,9.25,0.7895,0.446,0.21050000000000002,0.066,0.06999999999999999,0.21100000000000002,0.458,0.5645,0.37,0.2875,0.143,0.359,0.14450000000000002,0.4,0.027999999999999997,3.0,0.1935,0.143,0,0,2016,1626153.0,Delon,Wright,Delon Wright,"Wright, Delon",D. Wright,delon-wright,1992-04-26T00:00:00,Utah,USA,Utah/USA,77.0,185.0,8.0,Guard,Active,Y,1610612764.0,delon_wright,2015.0,2023.0,Y,Y,Y,2015,N,2,2,2,No
34,Dennis Smith Jr.,PG,20.5,DAL,61.0,1778.5,0.4115,13.0,0.6745000000000001,0.351,0.106,0.08,0.137,0.3255,0.45599999999999996,0.595,0.28,0.2935,0.345,0.3175,0.221,0.6134999999999999,0.05,35.5,0.0775,0.3185,2,0,2018,1628372.0,Dennis,Smith Jr.,Dennis Smith Jr.,"Smith Jr., Dennis",D. Smith Jr.,dennis-smith-jr,1997-11-25T00:00:00,North Carolina State,USA,North Carolina State/USA,75.0,205.0,6.0,Guard,Active,Y,1610612751.0,dennis_smith_jr,2017.0,2023.0,N,Y,Y,2017,N,2,2,1,No
35,Denzel Valentine,SG,23.5,CHI,67.0,1535.5,0.38549999999999995,19.15,0.3825,0.0965,0.1055,0.0835,0.097,0.6174999999999999,0.4065,0.5760000000000001,0.3225,0.414,0.33899999999999997,0.3685,0.502,0.847,0.002,1.0,0.261,0.40700000000000003,1,0,2017,1627756.0,Denzel,Valentine,Denzel Valentine,"Valentine, Denzel",D. Valentine,denzel-valentine,1993-11-16T00:00:00,Michigan State,USA,Michigan State/USA,76.0,220.0,6.0,Guard,Inactive,N,0.0,denzel_valentine,2016.0,2021.0,Y,Y,Y,2016,N,1,2,2,No
36,Derrick White,PG,23.5,SAS,42.0,933.5,0.482,13.45,0.6719999999999999,0.20700000000000002,0.2155,0.1385,0.112,0.328,0.4645,0.5275000000000001,0.504,0.3205,0.4235,0.47650000000000003,0.3395,0.729,0.0145,7.5,0.11599999999999999,0.659,0,0,2018,1628401.0,Derrick,White,Derrick White,"White, Derrick",D. White,derrick-white,1994-07-02T00:00:00,Colorado,USA,Colorado/USA,76.0,190.0,6.0,Guard,Active,Y,1610612738.0,derrick_white,2017.0,2023.0,Y,Y,Y,2017,N,1,3,2,No
37,Devin Booker,SG,19.5,PHO,77.0,2419.0,0.423,14.7,0.692,0.20700000000000002,0.129,0.131,0.224,0.308,0.4555,0.6094999999999999,0.427,0.3755,0.3745,0.353,0.394,0.775,0.0165,18.5,0.1635,0.382,1,0,2016,1626164.0,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,78.0,206.0,8.0,Guard,Active,Y,1610612756.0,devin_booker,2015.0,2023.0,N,Y,Y,2015,N,3,3,3,No
38,Devonte' Graham,PG,23.5,CHO,54.5,1443.5,0.36250000000000004,18.9,0.4165,0.163,0.0945,0.0785,0.08,0.5835,0.40900000000000003,0.5455000000000001,0.28400000000000003,0.315,0.377,0.327,0.3035,0.6555,0.002,2.0,0.11,0.4265,5,0,2019,1628984.0,Devonte',Graham,Devonte' Graham,"Graham, Devonte'",D. Graham,devonte-graham,1995-02-22T00:00:00,Kansas,USA,Kansas/USA,73.0,195.0,5.0,Guard,Active,Y,1610612759.0,devonte_graham,2018.0,2023.0,Y,Y,Y,2018,N,1,1,2,Yes
39,Dillon Brooks,SF,22.5,MEM,50.0,1340.0,0.42100000000000004,13.399999999999999,0.665,0.2975,0.153,0.11649999999999999,0.0985,0.335,0.4495,0.5565,0.4225,0.349,0.314,0.3655,0.5900000000000001,0.952,0.018500000000000003,8.0,0.16599999999999998,0.333,7,0,2018,1628415.0,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,78.0,225.0,6.0,Guard-Forward,Active,Y,1610612745.0,dillon_brooks,2017.0,2023.0,N,Y,Y,2017,N,3,3,2,No
40,Domantas Sabonis,PF,20.5,OKC,77.5,1721.0,0.4565,9.95,0.8065,0.37649999999999995,0.215,0.0775,0.138,0.1935,0.481,0.6100000000000001,0.359,0.325,0.4095,0.33599999999999997,0.6805,1.0,0.0605,32.0,0.212,0.4415,0,0,2017,1627734.0,Domantas,Sabonis,Domantas Sabonis,"Sabonis, Domantas",D. Sabonis,domantas-sabonis,1996-05-03T00:00:00,Gonzaga,Lithuania,Gonzaga/Lithuania,82.0,240.0,7.0,Forward-Center,Active,Y,1610612758.0,domantas_sabonis,2016.0,2023.0,N,Y,Y,2016,N,2,3,4,Yes
41,Donovan Mitchell,SG,21.5,UTA,78.0,2618.0,0.4345,14.05,0.6285000000000001,0.239,0.1925,0.112,0.08549999999999999,0.37150000000000005,0.485,0.6285000000000001,0.36150000000000004,0.427,0.426,0.351,0.2425,0.619,0.03,36.5,0.1125,0.4335,2,0,2018,1628378.0,Donovan,Mitchell,Donovan Mitchell,"Mitchell, Donovan",D. Mitchell,donovan-mitchell,1996-09-07T00:00:00,Louisville,USA,Louisville/USA,75.0,215.0,6.0,Guard,Active,Y,1610612739.0,donovan_mitchell,2017.0,2023.0,N,Y,Y,2017,N,2,2,2,No
42,Doug McDermott,SF,23.5,CHI,58.5,1091.0,0.42700000000000005,13.65,0.6074999999999999,0.322,0.1005,0.0605,0.1245,0.3925,0.4625,0.5675,0.2475,0.2335,0.396,0.371,0.762,0.9525,0.0235,7.0,0.22649999999999998,0.3485,0,0,2015,203926.0,Doug,McDermott,Doug McDermott,"McDermott, Doug",D. McDermott,doug-mcdermott,1992-01-03T00:00:00,Creighton,USA,Creighton/USA,78.0,225.0,9.0,Forward,Active,Y,1610612759.0,doug_mcdermott,2014.0,2023.0,N,Y,Y,2014,N,2,2,3,Yes
43,Dragan Bender,PF,19.5,PHO,62.5,1321.5,0.37,18.05,0.354,0.1925,0.0805,0.022,0.059,0.646,0.4545,0.5754999999999999,0.4065,0.41700000000000004,0.1735,0.3215,0.5295000000000001,0.996,0.026000000000000002,7.0,0.271,0.3615,0,0,2017,1627733.0,Dragan,Bender,Dragan Bender,"Bender, Dragan",D. Bender,dragan-bender,1997-11-17T00:00:00,Maccabi Tel Aviv,Croatia,Maccabi Tel Aviv/Croatia,84.0,249.0,4.0,Forward,Inactive,N,0.0,dragan_bender,2016.0,2019.0,Y,Y,Y,2016,N,2,2,4,Yes
