,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,GREATEST_75_FLAG,Quartile,FIRST_2,NEXT_2,Improved
10,Bobby Portis,PF,20.5,CHI,63.0,1051.0,14.350000000000001,0.507,0.1875,0.154,10.0,22.0,16.05,6.6,0.9500000000000001,1.2,9.4,19.9,0.7000000000000001,1.25,1.95,0.09,-1.05,-1.35,-2.4,-0.15000000000000002,2016,1626171.0,Bobby,Portis,Bobby Portis,"Portis, Bobby",B. Portis,bobby-portis,1995-02-10T00:00:00,Arkansas,USA,Arkansas/USA,82.0,250.0,8.0,Forward,Active,Y,1610612749.0,bobby_portis,2015.0,2023.0,Y,Y,Y,2015,N,1,1,1,No
11,Bol Bol,PF,20.5,DEN,19.5,123.5,11.9,0.5755,0.3675,0.308,3.2,17.45,10.35,7.9,1.0,6.25,20.200000000000003,21.2,-0.1,0.15000000000000002,0.05,0.0295,-3.05,-0.5,-3.55,-0.05,2020,1629626.0,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,87.0,220.0,4.0,Center-Forward,Active,Y,1610612756.0,bol_bol,2019.0,2023.0,Y,Y,Y,2019,N,2,2,4,Yes
12,Brandon Ingram,SF,19.5,LAL,69.0,2127.0,11.15,0.505,0.20550000000000002,0.3415,2.95,13.25,8.05,14.1,1.1,1.55,13.65,19.5,0.0,1.25,1.25,0.030500000000000003,-1.95,-0.85,-2.8000000000000003,-0.49999999999999994,2017,1627742.0,Brandon,Ingram,Brandon Ingram,"Ingram, Brandon",B. Ingram,brandon-ingram,1997-09-02T00:00:00,Duke,USA,Duke/USA,80.0,190.0,7.0,Forward,Active,Y,1610612740.0,brandon_ingram,2016.0,2023.0,N,Y,Y,2016,N,1,2,2,No
13,Bruno Caboclo,SF,19.5,TOR,7.0,33.0,-4.75,0.271,0.4165,0.0,3.85,3.8,3.85,1.6,1.2,2.7,25.0,24.2,-0.2,0.0,-0.2,-0.279,-12.75,-5.15,-17.9,-0.15000000000000002,2015,203998.0,Bruno,Caboclo,Bruno Caboclo,"Caboclo, Bruno",B. Caboclo,bruno-caboclo,1995-09-21T00:00:00,Pinheiros,Brazil,Pinheiros/Brazil,81.0,218.0,8.0,Forward,Inactive,N,0.0,bruno_caboclo,2014.0,2020.0,Y,Y,Y,2014,N,1,1,4,Yes
14,Bruno Fernando,C,21.5,ATL,44.5,469.5,9.05,0.5085,0.11549999999999999,0.378,8.95,24.7,16.95,7.85,1.05,1.6,22.0,14.850000000000001,0.05000000000000002,0.35,0.35000000000000003,0.018000000000000002,-4.65,-0.65,-5.3,-0.35,2020,1628981.0,Bruno,Fernando,Bruno Fernando,"Fernando, Bruno",B. Fernando,bruno-fernando,1998-08-15T00:00:00,Maryland,Angola,Maryland/Angola,81.0,240.0,4.0,Forward-Center,Active,Y,1610612737.0,bruno_fernando,2019.0,2023.0,Y,Y,Y,2019,N,2,2,3,Yes
15,Buddy Hield,SG,24.5,TOT,81.0,1956.0,13.950000000000001,0.549,0.4655,0.093,2.5,14.15,8.2,11.55,1.55,0.7,11.25,22.8,0.65,1.4,2.05,0.0495,0.5,-0.95,-0.5,0.75,2017,1627741.0,Buddy,Hield,Buddy Hield,"Hield, Buddy",B. Hield,buddy-hield,1992-12-17T00:00:00,Oklahoma,Bahamas,Oklahoma/Bahamas,76.0,220.0,7.0,Guard,Active,Y,1610612754.0,buddy_hield,2016.0,2023.0,N,Y,Y,2016,N,1,2,1,No
16,Cam Reddish,SF,20.5,ATL,42.0,1150.5,9.15,0.494,0.46499999999999997,0.2695,2.8499999999999996,12.2,7.55,7.25,2.05,1.3,11.899999999999999,19.1,-0.75,0.75,0.0,0.0075,-3.3,-0.45,-3.7,-0.55,2020,1629629.0,Cam,Reddish,Cam Reddish,"Reddish, Cam",C. Reddish,cam-reddish,1999-09-01T00:00:00,Duke,USA,Duke/USA,79.0,217.0,4.0,Forward-Guard,Active,Y,1610612747.0,cameron_reddish,2019.0,2023.0,N,Y,Y,2019,N,1,3,2,No
17,Cameron Johnson,PF,23.5,PHO,58.5,1346.0,12.350000000000001,0.5745,0.683,0.1315,3.45,12.65,8.100000000000001,7.85,1.35,1.2,7.1,16.35,1.45,1.2,2.6500000000000004,0.094,0.4,-0.30000000000000004,0.04999999999999999,0.7,2020,1629661.0,Cameron,Johnson,Cameron Johnson,"Johnson, Cameron",C. Johnson,cameron-johnson,1996-03-03T00:00:00,North Carolina,USA,North Carolina/USA,80.0,210.0,4.0,Forward,Active,Y,1610612751.0,cameron_johnson,2019.0,2023.0,N,Y,Y,2019,N,2,2,3,Yes
18,Cameron Payne,PG,21.5,OKC,44.0,580.0,9.2,0.4485,0.4225,0.0635,1.1,10.95,6.15,20.1,2.05,0.7,13.05,20.6,-0.10000000000000003,0.6000000000000001,0.5499999999999999,0.028999999999999998,-3.25,-0.15000000000000002,-3.4,-0.15,2016,1626166.0,Cameron,Payne,Cameron Payne,"Payne, Cameron",C. Payne,cameron-payne,1994-08-08T00:00:00,Murray State,USA,Murray State/USA,75.0,183.0,8.0,Guard,Active,Y,1610612749.0,cameron_payne,2015.0,2023.0,Y,Y,Y,2015,N,3,3,2,No
19,Caris LeVert,SF,22.5,BRK,64.0,1550.5,13.25,0.5405,0.4085,0.2495,2.5,12.9,7.7,19.85,2.0,0.7,14.05,19.55,0.75,1.3,2.05,0.064,-1.05,0.15,-0.9500000000000001,0.44999999999999996,2017,1627747.0,Caris,LeVert,Caris LeVert,"LeVert, Caris",C. LeVert,caris-levert,1994-08-25T00:00:00,Michigan,USA,Michigan/USA,78.0,205.0,7.0,Guard,Active,Y,1610612739.0,caris_levert,2016.0,2023.0,N,Y,Y,2016,N,3,3,3,No
20,Cedi Osman,SF,22.5,CLE,68.5,1558.0,11.25,0.5565,0.4555,0.23049999999999998,2.6,15.700000000000001,9.05,10.399999999999999,1.4,0.4,12.2,17.15,0.85,0.30000000000000004,1.2,0.0465,-1.75,-1.25,-3.05,-0.45,2018,1626224.0,Cedi,Osman,Cedi Osman,"Osman, Cedi",C. Osman,cedi-osman,1995-04-08T00:00:00,Anadolu Efes,Turkey,Anadolu Efes/Turkey,79.0,230.0,6.0,Forward,Active,Y,1610612759.0,cedi_osman,2017.0,2023.0,Y,Y,Y,2015,N,2,2,2,No
21,Chandler Hutchison,SF,22.5,CHI,36.0,711.0,10.600000000000001,0.514,0.22799999999999998,0.314,3.6500000000000004,19.35,11.25,6.35,1.85,0.95,10.7,15.65,0.0,0.6499999999999999,0.6499999999999999,0.045,-3.05,-0.2,-3.25,-0.25,2019,1628990.0,Chandler,Hutchison,Chandler Hutchison,"Hutchison, Chandler",C. Hutchison,chandler-hutchison,1996-04-26T00:00:00,Boise State,USA,Boise State/USA,78.0,210.0,4.0,Forward-Guard,Inactive,N,0.0,chandler_hutchison,2018.0,2021.0,Y,Y,Y,2018,N,2,3,3,No
22,Chasson Randle,PG,24.0,TOT,37.5,521.0,11.75,0.5705,0.505,0.3625,1.8,8.1,4.949999999999999,17.15,1.55,0.4,14.5,18.049999999999997,0.45,0.15000000000000002,0.6499999999999999,0.0735,-1.9000000000000001,-0.95,-2.85,-0.2,2017,1626184.0,Chasson,Randle,Chasson Randle,"Randle, Chasson",C. Randle,chasson-randle,1993-02-05T00:00:00,Stanford,USA,Stanford/USA,74.0,185.0,5.0,Guard,Inactive,N,1610612753.0,chasson_randle,2016.0,2020.0,Y,Y,Y,2015,N,2,2,3,Yes
23,Cheick Diallo,PF,20.5,NOP,34.5,390.0,16.9,0.5645,0.0,0.3255,10.6,28.15,19.549999999999997,3.95,0.95,2.9,9.8,18.95,0.65,0.55,1.2,0.134,-1.55,-0.8999999999999999,-2.45,0.0,2017,1627767.0,Cheick,Diallo,Cheick Diallo,"Diallo, Cheick",C. Diallo,cheick-diallo,1996-09-13T00:00:00,Kansas,Mali,Kansas/Mali,80.0,219.0,6.0,Forward-Center,Inactive,Y,0.0,cheick_diallo,2016.0,2021.0,Y,Y,Y,2016,N,1,3,3,No
24,Chimezie Metu,PF,21.5,SAS,23.5,125.0,14.3,0.4985,0.041,0.3015,9.55,20.85,15.2,13.45,1.7,3.1,17.950000000000003,24.049999999999997,-0.15,0.15000000000000002,0.0,0.0155,-2.8,-0.75,-3.4999999999999996,-0.05,2019,1629002.0,Chimezie,Metu,Chimezie Metu,"Metu, Chimezie",C. Metu,chimezie-metu,1997-03-22T00:00:00,Southern California,USA,Southern California/USA,82.0,225.0,5.0,Forward-Center,Active,Y,1610612756.0,chimezie_metu,2018.0,2023.0,Y,Y,Y,2018,N,1,3,3,No
25,Clint Capela,C,20.5,HOU,44.5,780.5,15.2,0.481,0.0015,0.662,13.350000000000001,27.25,20.3,4.35,1.3,6.5,11.100000000000001,18.700000000000003,1.0999999999999999,1.1,2.2,0.08149999999999999,-2.8,-0.05,-2.9000000000000004,0.25,2015,203991.0,Clint,Capela,Clint Capela,"Capela, Clint",C. Capela,clint-capela,1994-05-18T00:00:00,Elan Chalon,Switzerland,Elan Chalon/Switzerland,82.0,256.0,9.0,Center,Active,Y,1610612737.0,clint_capela,2014.0,2023.0,Y,Y,Y,2014,N,3,3,4,Yes
26,Coby White,PG,19.5,CHI,67.0,1915.0,11.95,0.523,0.489,0.16,1.65,13.5,7.449999999999999,19.15,1.15,0.44999999999999996,12.65,23.45,0.09999999999999998,1.5499999999999998,1.65,0.039,-1.25,-1.4,-2.65,-0.30000000000000004,2020,1629632.0,Coby,White,Coby White,"White, Coby",C. White,coby-white,2000-02-16T00:00:00,North Carolina,USA,North Carolina/USA,77.0,195.0,4.0,Guard,Active,Y,1610612741.0,coby_white,2019.0,2023.0,N,Y,Y,2019,N,1,1,3,Yes
27,Collin Sexton,PG,20.5,CLE,73.5,2374.0,14.15,0.54,0.24,0.22849999999999998,2.7,7.75,5.15,15.2,1.15,0.25,11.95,26.2,1.0,-0.04999999999999999,0.95,0.023,-0.5499999999999999,-2.7,-3.25,-0.85,2019,1629012.0,Collin,Sexton,Collin Sexton,"Sexton, Collin",C. Sexton,collin-sexton,1999-01-04T00:00:00,Alabama,USA,Alabama/USA,75.0,190.0,5.0,Guard,Active,Y,1610612762.0,collin_sexton,2018.0,2023.0,N,Y,Y,2018,N,1,1,2,Yes
28,D'Angelo Russell,PG,19.5,LAL,71.5,2035.0,14.25,0.5125,0.41500000000000004,0.20800000000000002,2.0,11.55,6.6,24.0,2.2,0.6,15.75,25.35,-0.19999999999999998,0.85,0.65,0.017,0.0,-1.55,-1.5499999999999998,0.25,2016,1626156.0,D'Angelo,Russell,D'Angelo Russell,"Russell, D'Angelo",D. Russell,dangelo-russell,1996-02-23T00:00:00,Ohio State,USA,Ohio State/USA,75.0,193.0,8.0,Guard,Active,Y,1610612747.0,d'angelo_russell,2015.0,2023.0,N,Y,Y,2015,N,1,1,2,Yes
29,D.J. Wilson,PF,21.5,MIL,35.0,476.5,10.3,0.5685,0.4095,0.156,4.4,16.2,10.55,6.85,1.5,1.5499999999999998,14.85,13.850000000000001,0.15,0.75,0.9,0.0735,-2.2,0.1,-2.1,0.0,2018,1628391.0,D.J.,Wilson,D.J. Wilson,"Wilson, D.J.",D. Wilson,dj-wilson,1996-02-19T00:00:00,Michigan,USA,Michigan/USA,82.0,231.0,6.0,Forward,Inactive,Y,0.0,d.j._wilson,2017.0,2021.0,Y,Y,Y,2017,N,3,3,3,No
30,Damian Jones,C,21.5,GSW,12.5,87.0,6.05,0.49150000000000005,0.0,0.426,9.6,13.8,11.8,1.45,0.55,3.2,18.45,13.65,-0.05,0.1,0.05,0.0245,-6.5,-1.85,-8.399999999999999,-0.15000000000000002,2017,1627745.0,Damian,Jones,Damian Jones,"Jones, Damian",D. Jones,damian-jones,1995-06-30T00:00:00,Vanderbilt,USA,Vanderbilt/USA,82.0,245.0,7.0,Center,Active,Y,1610612739.0,damian_jones,2016.0,2023.0,Y,Y,Y,2016,N,1,1,4,Yes
31,Damyean Dotson,SG,23.5,NYK,58.5,1239.0,11.2,0.529,0.45599999999999996,0.14150000000000001,1.9,14.85,8.3,9.95,1.35,0.4,8.85,17.3,0.5,0.6,1.05,0.0485,-1.65,-0.7,-2.45,-0.15,2018,1628422.0,Damyean,Dotson,Damyean Dotson,"Dotson, Damyean",D. Dotson,damyean-dotson,1994-05-06T00:00:00,Houston,USA,Houston/USA,77.0,210.0,5.0,Guard,Inactive,N,0.0,damyean_dotson,2017.0,2021.0,Y,Y,Y,2017,N,2,2,2,No
32,Dante Exum,PG,20.0,UTA,74.0,1522.5,7.1,0.489,0.5225,0.139,2.3,7.95,5.2,15.350000000000001,1.05,0.7,19.15,15.950000000000001,-0.6000000000000001,1.15,0.5499999999999999,0.0215,-3.4000000000000004,-0.39999999999999997,-3.8,-0.75,2015,203957.0,Dante,Exum,Dante Exum,"Exum, Dante",D. Exum,dante-exum,1995-07-13T00:00:00,Australian Institute of Sport,Australia,Australian Institute of Sport/Australia,77.0,214.0,6.0,Guard,Active,Y,1610612742.0,dante_exum,2014.0,2023.0,N,Y,Y,2014,N,2,2,3,Yes
33,Darius Bazley,PF,19.5,OKC,58.0,1422.0,9.649999999999999,0.494,0.4295,0.227,3.05,20.85,12.0,7.0,0.9,2.2,12.649999999999999,18.6,-1.4,1.45,0.04999999999999999,0.0075000000000000015,-2.6,-0.4,-3.0,-0.45,2020,1629647.0,Darius,Bazley,Darius Bazley,"Bazley, Darius",D. Bazley,darius-bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,Princeton HS (OH)/USA,81.0,216.0,5.0,Forward,Inactive,Y,1610612756.0,darius_bazley,2019.0,2022.0,Y,Y,Y,2019,N,3,3,4,Yes
34,Darius Garland,SG,20.5,CLE,56.5,1807.0,11.35,0.5225,0.3775,0.134,1.5,6.0,3.7,24.7,1.4500000000000002,0.25,16.55,22.799999999999997,-0.5,0.45,-0.050000000000000044,-0.0005000000000000004,-1.35,-2.45,-3.8,-0.9,2020,1629636.0,Darius,Garland,Darius Garland,"Garland, Darius",D. Garland,darius-garland,2000-01-26T00:00:00,Vanderbilt,USA,Vanderbilt/USA,73.0,192.0,4.0,Guard,Active,Y,1610612739.0,darius_garland,2019.0,2023.0,N,Y,Y,2019,N,1,1,2,Yes
35,Davon Reed,SG,22.5,PHO,15.5,144.5,6.449999999999999,0.444,0.4165,0.079,2.85,12.9,7.85,8.05,1.5,0.35,9.35,14.05,-0.25,0.1,-0.09999999999999999,0.0020000000000000018,-4.55,-1.4000000000000001,-5.95,-0.15,2018,1628432.0,Davon,Reed,Davon Reed,"Reed, Davon",D. Reed,davon-reed,1995-06-11T00:00:00,Miami,USA,Miami/USA,77.0,206.0,4.0,Guard,Inactive,N,0.0,davon_reed,2017.0,2022.0,Y,Y,Y,2017,N,2,2,3,Yes
36,De'Aaron Fox,PG,20.5,SAC,77.0,2286.0,14.65,0.511,0.2015,0.3115,1.75,10.4,5.95,28.900000000000002,2.05,1.2,15.7,23.95,0.7500000000000001,1.8,2.5,0.046,-0.7000000000000001,-0.65,-1.35,0.5999999999999999,2018,1628368.0,De'Aaron,Fox,De'Aaron Fox,"Fox, De'Aaron",D. Fox,deaaron-fox,1997-12-20T00:00:00,Kentucky,USA,Kentucky/USA,75.0,185.0,6.0,Guard,Active,Y,1610612758.0,de'aaron_fox,2017.0,2023.0,N,Y,Y,2017,N,1,3,2,No
37,De'Andre Hunter,SF,22.5,ATL,43.0,1348.0,12.149999999999999,0.562,0.41400000000000003,0.277,2.55,13.899999999999999,8.25,8.85,1.2,1.15,10.649999999999999,18.85,0.39999999999999997,0.55,0.9,0.0625,-1.15,-0.6000000000000001,-1.75,-0.44999999999999996,2020,1629631.0,De'Andre,Hunter,De'Andre Hunter,"Hunter, De'Andre",D. Hunter,deandre-hunter,1997-12-02T00:00:00,Virginia,USA,Virginia/USA,80.0,221.0,4.0,Forward-Guard,Active,Y,1610612737.0,deandre_hunter,2019.0,2023.0,N,Y,Y,2019,N,1,3,1,No
38,DeAndre' Bembry,SF,22.5,ATL,32.0,413.0,8.2,0.479,0.20900000000000002,0.21050000000000002,3.1,14.399999999999999,8.75,13.7,1.7,1.75,19.0,16.2,-0.5,0.45,-0.05000000000000002,-0.0010000000000000009,-4.35,0.2,-4.1,-0.2,2017,1627761.0,DeAndre',Bembry,DeAndre' Bembry,"Bembry, DeAndre'",D. Bembry,deandre-bembry,1994-07-04T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,77.0,210.0,6.0,Guard-Forward,Inactive,N,0.0,deandre'_bembry,2016.0,2021.0,Y,Y,Y,2016,N,3,3,4,Yes
39,Deandre Ayton,C,20.5,PHO,54.5,1709.5,20.25,0.588,0.014,0.187,12.05,26.200000000000003,19.05,9.649999999999999,1.15,3.3499999999999996,11.649999999999999,22.45,2.8,1.65,4.45,0.1245,1.05,-0.75,0.30000000000000004,0.95,2019,1629028.0,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,deandre-ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,84.0,247.0,5.0,Center,Active,Y,1610612757.0,deandre_ayton,2018.0,2023.0,N,Y,Y,2018,N,1,2,3,Yes
40,Dennis Smith Jr.,PG,20.5,DAL,61.0,1778.5,12.55,0.4875,0.3255,0.214,2.4000000000000004,10.25,6.25,28.4,1.9,0.9500000000000001,16.25,26.85,-1.7999999999999998,1.45,-0.35,-0.008,-1.4,-0.8,-2.15,-0.1,2018,1628372.0,Dennis,Smith Jr.,Dennis Smith Jr.,"Smith Jr., Dennis",D. Smith Jr.,dennis-smith-jr,1997-11-25T00:00:00,North Carolina State,USA,North Carolina State/USA,75.0,205.0,6.0,Guard,Active,Y,1610612751.0,dennis_smith_jr,2017.0,2023.0,N,Y,Y,2017,N,1,2,4,Yes
41,Denzel Valentine,SG,23.5,CHI,67.0,1535.5,9.7,0.5095000000000001,0.6174999999999999,0.067,1.7999999999999998,16.95,9.2,13.55,1.5,0.55,13.0,16.45,0.25,1.3,1.55,0.044,-2.25,0.05,-2.15,0.1,2017,1627756.0,Denzel,Valentine,Denzel Valentine,"Valentine, Denzel",D. Valentine,denzel-valentine,1993-11-16T00:00:00,Michigan State,USA,Michigan State/USA,76.0,220.0,6.0,Guard,Inactive,N,0.0,denzel_valentine,2016.0,2021.0,Y,Y,Y,2016,N,3,3,3,No
42,Devin Booker,SG,19.5,PHO,77.0,2419.0,13.25,0.533,0.308,0.3015,1.6,8.350000000000001,4.9,16.05,1.15,0.7,13.45,25.8,1.25,0.6499999999999999,1.95,0.039,-0.44999999999999996,-2.0,-2.3499999999999996,-0.2,2016,1626164.0,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,78.0,206.0,8.0,Guard,Active,Y,1610612756.0,devin_booker,2015.0,2023.0,N,Y,Y,2015,N,1,1,1,No
43,Devonte' Graham,PG,23.5,CHO,54.5,1443.5,13.05,0.498,0.5835,0.22749999999999998,1.8,8.649999999999999,5.1,30.049999999999997,1.5499999999999998,0.44999999999999996,12.9,20.9,1.3,0.6,1.95,0.054,-0.050000000000000044,-1.7000000000000002,-1.75,0.5499999999999999,2019,1628984.0,Devonte',Graham,Devonte' Graham,"Graham, Devonte'",D. Graham,devonte-graham,1995-02-22T00:00:00,Kansas,USA,Kansas/USA,73.0,195.0,5.0,Guard,Active,Y,1610612759.0,devonte_graham,2018.0,2023.0,Y,Y,Y,2018,N,1,1,1,No
44,Dillon Brooks,SF,22.5,MEM,50.0,1340.0,8.7,0.515,0.335,0.23049999999999998,2.7,9.05,5.8,8.45,1.55,0.9,12.55,19.7,-0.09999999999999999,0.7000000000000001,0.6,0.01,-3.95,-1.15,-5.15,-0.8,2018,1628415.0,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,78.0,225.0,6.0,Guard-Forward,Active,Y,1610612745.0,dillon_brooks,2017.0,2023.0,N,Y,Y,2017,N,1,1,1,No
